WMO_box lon_min lon_max lat_min lat_max
7301 -20 -10 30 40
7201 -20 -10 20 30
7101 -20 -10 10 20
7001 -20 -10 0 10
5001 -20 -10 -10 0
5101 -20 -10 -20 -10
5201 -20 -10 -30 -20
5301 -20 -10 -40 -30
5401 -20 -10 -50 -40
5501 -20 -10 -60 -50
5601 -20 -10 -70 -60
5701 -20 -10 -80 -70
5801 -20 -10 -90 -80
7800 -10 0 80 90
7700 -10 0 70 80
7600 -10 0 60 70
7500 -10 0 50 60
7400 -10 0 40 50
7300 -10 0 30 40
7200 -10 0 20 30
7100 -10 0 10 20
7000 -10 0 0 10
5000 -10 0 -10 0
5100 -10 0 -20 -10
5200 -10 0 -30 -20
5300 -10 0 -40 -30
5400 -10 0 -50 -40
5500 -10 0 -60 -50
5600 -10 0 -70 -60
5700 -10 0 -80 -70
5800 -10 0 -90 -80
